is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,90..31|last 3 months,180..91|last 6 months,<180|more than 6 months
2023-01-31,32,16,23,43,70,154,150,156
2023-01-30,11,20,27,44,65,469,0,0
2023-01-29,20,15,30,47,70,487,0,0
2023-01-28,19,17,30,44,72,485,0,0
2023-01-27,13,26,36,43,70,484,0,0
2023-01-26,16,33,40,54,75,485,0,0
2023-01-25,30,29,32,44,74,485,0,0
2023-01-24,17,32,36,41,67,486,0,0
2023-01-23,20,36,32,40,64,489,0,0
2023-01-22,27,37,40,40,64,488,0,0
2023-01-21,32,26,29,35,61,490,0,0
2023-01-20,25,33,32,33,58,489,0,0
2023-01-19,24,37,32,36,56,489,0,0
2023-01-18,31,28,30,40,52,489,0,0
2023-01-17,20,29,24,42,53,488,0,0
2023-01-16,22,33,22,42,55,485,0,0
2023-01-15,28,26,21,39,59,482,0,0
2023-01-14,20,28,28,37,60,484,0,0
2023-01-13,26,27,24,35,57,485,0,0
2023-01-12,27,29,26,38,63,483,0,0
2023-01-11,23,36,30,32,69,476,0,0
2023-01-10,29,24,34,35,73,473,0,0
2023-01-09,20,22,35,36,81,476,0,0
2023-01-08,18,23,30,33,82,483,0,0
2023-01-07,21,29,21,30,78,485,0,0
2023-01-06,19,35,19,30,74,487,0,0
2023-01-05,23,36,22,31,78,481,0,0
2023-01-04,28,21,27,29,81,478,0,0
2023-01-03,22,17,26,30,82,479,0,0
2023-01-02,10,20,21,38,78,480,0,0
2023-01-01,11,28,14,39,69,487,0,0
2022-12-31,22,26,10,40,66,486,0,0
2022-12-30,22,18,15,40,66,486,0,0
2022-12-29,22,17,23,43,68,486,0,0
2022-12-28,19,9,24,44,69,488,0,0
2022-12-27,10,10,24,44,60,489,0,0
2022-12-26,7,18,25,53,56,488,0,0
2022-12-25,12,21,22,51,54,485,0,0
2022-12-24,20,21,29,50,58,480,0,0
2022-12-23,25,19,26,49,57,478,0,0
2022-12-22,25,25,32,50,62,476,0,0
2022-12-21,21,19,23,46,58,471,0,0
2022-12-20,23,27,23,41,57,469,0,0
2022-12-19,17,32,36,37,54,469,0,0
2022-12-18,29,20,45,38,52,471,0,0
2022-12-17,22,19,39,36,60,463,0,0
2022-12-16,20,28,30,31,63,463,0,0
2022-12-15,24,38,21,33,64,462,0,0
2022-12-14,22,47,27,29,69,457,0,0
2022-12-13,39,23,31,26,69,453,0,0
2022-12-12,24,20,30,30,69,451,0,0
2022-12-11,15,31,31,31,70,452,0,0
2022-12-10,23,26,22,32,67,454,0,0
2022-12-09,27,35,22,34,70,449,0,0
2022-12-08,18,36,20,34,73,445,0,0
